"run","policy_scenario","total_requests","successful_requests","failed_requests","error_rate","successful_requests_per_second","all_attempt_p95_ms","all_attempt_p99_ms","successful_request_p95_ms","successful_request_p99_ms","downstream_calls","retry_amplification_factor","max_inflight_downstream","saturation_observation","k6_http_req_failed_rate"
"01-no-retry-low-timeout-fixed-delay","no-retry-low-timeout-fixed-delay","4865","49","4816","0.9899","1.48","200","249","325","354","4865","1","40","moderate downstream concurrency; watch for queueing if latency rises","0.9895"
"02-no-retry-standard-timeout-fixed-delay","no-retry-standard-timeout-fixed-delay","4400","4400","0","0","142.66","223","231","223","231","4400","1","40","moderate downstream concurrency; watch for queueing if latency rises","0"
"03-immediate-retry-fixed-delay","immediate-retry-fixed-delay","4422","4422","0","0","141.89","221","225","221","225","4422","1","40","moderate downstream concurrency; watch for queueing if latency rises","0"
"04-exponential-backoff-fixed-delay","exponential-backoff-fixed-delay","4440","4440","0","0","143.43","221","222","221","222","4440","1","40","moderate downstream concurrency; watch for queueing if latency rises","0"
"05-jitter-fixed-delay","jitter-fixed-delay","4440","4440","0","0","140.93","221","224","221","224","4440","1","40","moderate downstream concurrency; watch for queueing if latency rises","0"
"06-circuit-breaker-fixed-delay","circuit-breaker-fixed-delay","4440","4440","0","0","143.56","221","226","221","226","4440","1","40","moderate downstream concurrency; watch for queueing if latency rises","0"
"07-bulkhead-fixed-delay","bulkhead-fixed-delay","14108","2114","11994","0.8502","67.62","220","220","221","224","2114","0.15","16","no visible downstream saturation in this run","0.85"
"08-no-retry-standard-timeout-random-failures","no-retry-standard-timeout-random-failures","6986","4554","2432","0.3481","146.99","120","124","120","124","6986","1","40","moderate downstream concurrency; watch for queueing if latency rises","0.348"
"09-immediate-retry-random-failures","immediate-retry-random-failures","5262","5060","202","0.0384","162.71","120","122","360","361","7761","1.475","40","moderate downstream concurrency; watch for queueing if latency rises","0.0384"
"10-jitter-random-failures","jitter-random-failures","4484","4308","176","0.0393","137.68","120","120","563","643","6526","1.455","40","moderate downstream concurrency; watch for queueing if latency rises","0.0392"
"11-no-retry-standard-timeout-progressive-degradation","no-retry-standard-timeout-progressive-degradation","3880","59","3821","0.9848","1.9","260","261","251","257","3880","1","40","moderate downstream concurrency; watch for queueing if latency rises","0.9843"
"12-immediate-retry-progressive-degradation","immediate-retry-progressive-degradation","1500","60","1440","0.96","1.91","260","260","251","260","4380","2.92","43","moderate downstream concurrency; watch for queueing if latency rises","0.9587"
"13-jitter-progressive-degradation","jitter-progressive-degradation","1198","60","1138","0.9499","1.88","260","260","251","260","3474","2.9","40","moderate downstream concurrency; watch for queueing if latency rises","0.9483"
